Filename,Original Contigs,After Filtering,GC Content (%),Avg Length,Status
GCA_017766725.1_ASM1776672v1_genomic.fna,20,20,52.23,1947838.9,KEPT
GCA_002148305.1_Vi1.14.1.0_genomic.fna,1413,603,45.07,74792.1,KEPT
GCA_001739075.1_ASM173907v1_genomic.fna,501,46,37.45,258709.8,KEPT
GCA_012932095.1_ASM1293209v1_genomic.fna,4661,2803,50.59,13158.8,KEPT
GCA_002851705.1_ASM285170v1_genomic.fna,20,18,56.49,2025934.4,KEPT
GCA_020736765.1_ASM2073676v1_genomic.fna,174,107,51.01,316798.1,KEPT
GCA_018345455.1_ASM1834545v1_genomic.fna,54,54,48.35,668381.0,KEPT
GCA_009687305.1_AoryTK60_1.0_genomic.fna,63,61,47.34,615742.5,KEPT
GCA_001599355.1_JCM_9829_assembly_v001_genomic.fna,11,11,40.47,1059438.7,KEPT
GCA_903819135.2_Y55_Assembly_v2_genomic.fna,17,17,38.16,698387.6,KEPT
GCA_002222405.1_Cryp_neof_C8_V1_genomic.fna,158,117,47.73,155521.4,KEPT
GCA_001856765.1_ASM185676v1_genomic.fna,913,717,45.45,45008.9,KEPT
GCA_020023485.1_ASM2002348v1_genomic.fna,8,8,47.59,1145478.4,KEPT
GCA_017868975.1_ASM1786897v1_genomic.fna,299,152,38.10,75143.9,KEPT
GCA_013201745.1_ASM1320174v1_genomic.fna,214,174,52.32,334074.6,KEPT
GCA_017591655.1_FABI_ChPopu_1.0_genomic.fna,1504,1336,52.40,17770.9,KEPT
GCA_001740775.1_ASM174077v1_genomic.fna,309,39,37.60,256440.8,KEPT
GCA_001740295.1_ASM174029v1_genomic.fna,370,43,37.54,240840.7,KEPT
GCA_900099345.1_D47-60-3B_genomic.fna,1124,196,38.13,57738.9,KEPT
GCA_013363215.1_ASM1336321v1_genomic.fna,4438,2661,48.35,17025.9,KEPT
GCA_905359485.1_MDC_Fg202_genomic.fna,292,178,48.31,208276.1,KEPT
GCA_003016265.1_ASM301626v1_genomic.fna,2100,1276,51.87,29576.9,KEPT
GCA_020499675.1_ASM2049967v1_genomic.fna,502,348,49.60,82348.2,KEPT
GCA_001739475.1_ASM173947v1_genomic.fna,402,35,37.33,297374.5,KEPT
GCA_902703495.1_CA4_genomic.fna,262,174,45.20,70365.9,KEPT
GCA_011035185.1_ASM1103518v1_genomic.fna,17061,11085,47.08,4242.9,KEPT
GCA_020617195.1_AMFP15.2.pb_genomic.fna,1173,893,42.30,38862.8,KEPT
GCA_000260195.2_FO_II5_V1_genomic.fna,418,329,47.40,140907.9,KEPT
GCA_000875795.1_Cryp_gatt_CA1014_V1_genomic.fna,21,20,47.55,862734.7,KEPT
GCA_019207995.1_ASM1920799v1_genomic.fna,61,37,47.72,241055.6,KEPT
GCA_012184535.1_ASM1218453v1_genomic.fna,653,400,47.78,56874.0,KEPT
GCA_018219515.1_ASM1821951v1_genomic.fna,38,38,48.11,968290.3,KEPT
GCA_001265015.1_ASM126501v1_genomic.fna,95,45,57.97,168365.9,KEPT
GCA_013201905.1_ASM1320190v1_genomic.fna,805,338,53.22,165100.7,KEPT
GCA_002249775.1_ASM224977v1_genomic.fna,669,408,53.94,122230.8,KEPT
GCA_004114245.1_ASM411424v1_genomic.fna,1958,1547,53.72,8671.6,KEPT
GCA_000766195.2_ASM76619v2_genomic.fna,670,502,38.25,22809.2,KEPT
GCA_019669825.1_Calmar1_genomic.fna,1318,1232,47.61,27680.6,KEPT
GCA_009803585.1_ASM980358v1_genomic.fna,1720,1388,45.03,40560.0,KEPT
GCA_018104285.1_INRAE_Cpar_1.0_genomic.fna,18,18,50.87,2405851.2,KEPT
GCA_000978135.2_Sc_YJM1479_v1_genomic.fna,18,18,38.39,690366.9,KEPT
GCA_003313625.1_ASM331362v1_genomic.fna,14500,5974,46.83,8265.5,KEPT
GCA_011064635.1_ASM1106463v1_genomic.fna,49,47,54.28,983059.6,KEPT
GCA_001662755.1_ASM166275v1_genomic.fna,2614,1354,51.64,29797.8,KEPT
GCA_014850675.1_ASM1485067v1_genomic.fna,1193,770,50.73,56610.4,KEPT
GCA_014325235.1_ASM1432523v1_genomic.fna,2910,1728,47.35,32111.9,KEPT
GCA_003369665.1_ASM336966v1_genomic.fna,77,70,48.59,606105.5,KEPT
GCA_001599255.1_JCM_9445_assembly_v001_genomic.fna,22,16,40.93,742958.8,KEPT
GCA_900178505.1_BC_Souche1152_V1_genomic.fna,799,167,38.11,69492.4,KEPT
GCA_900099195.1_20B2_genomic.fna,2159,206,38.17,54902.7,KEPT
GCA_001264795.1_ASM126479v1_genomic.fna,108,41,52.08,215674.8,KEPT
GCA_900178045.1_SD085_genomic.fna,1441,637,38.17,17704.5,KEPT
GCA_020976375.1_ASM2097637v1_genomic.fna,3007,1824,47.64,29645.4,KEPT
GCA_013623635.1_ASM1362363v1_genomic.fna,616,518,47.81,73127.3,KEPT
GCA_020503905.1_ASM2050390v1_genomic.fna,707,447,49.55,64355.6,KEPT
GCA_020577905.1_ASM2057790v1_genomic.fna,309,133,50.20,282631.1,KEPT
GCA_009805935.1_ASM980593v1_genomic.fna,1952,1522,52.64,24192.8,KEPT
GCA_003271315.1_ASM327131v1_genomic.fna,63,34,37.97,339893.6,KEPT
GCA_003184645.1_Aspell1_genomic.fna,518,447,47.85,67377.9,KEPT
GCA_004919825.1_ASM491982v1_genomic.fna,973,538,37.18,18505.4,KEPT
GCA_002982235.1_ASM298223v1_genomic.fna,737,526,50.69,63401.4,KEPT
GCA_003953715.1_ASM395371v1_genomic.fna,175,165,48.30,224176.8,KEPT
GCA_001021365.1_ASM102136v1_genomic.fna,1434,118,52.75,297900.9,KEPT
GCA_017865695.1_ASM1786569v1_genomic.fna,794,230,38.03,50088.3,KEPT
GCA_000150615.1_ASM15061v1_genomic.fna,624,145,46.34,60503.6,KEPT
GCA_012851065.1_ASM1285106v1_genomic.fna,60,53,44.55,169757.6,KEPT
GCA_019775565.1_ASM1977556v1_genomic.fna,128,117,52.80,259858.2,KEPT
GCA_001661335.1_Babin1_genomic.fna,49,46,47.66,326967.9,KEPT
GCA_011763695.1_ASM1176369v1_genomic.fna,20861,4617,35.10,7844.4,KEPT
GCA_002236465.2_NZE8.long_genomic.fna,209,81,52.69,375095.4,KEPT
GCA_020716685.1_ASM2071668v1_genomic.fna,33,33,27.80,4449397.6,KEPT
GCA_011033885.1_ASM1103388v1_genomic.fna,1690,1128,47.30,46087.7,KEPT
