Filename,Original Contigs,After Filtering,GC Content (%),Avg Length,Status
NZ_CP160176.1.fna,1,1,51.95,59372.0,KEPT
NZ_OW969688.1.fna,1,1,53.08,117229.0,KEPT
NG_048993.1.fna,1,0,0.00,0.0,DELETED (empty or error)
NZ_CP091789.1.fna,1,1,43.59,205045.0,KEPT
NZ_JBLVPA010000005.1.fna,1,1,41.92,60222.0,KEPT
NZ_CP121852.1.fna,1,1,63.69,3622.0,KEPT
NZ_CM002549.1.fna,1,1,60.08,10981.0,KEPT
NZ_CP014383.1.fna,1,1,30.53,27068.0,KEPT
NZ_CP063439.1.fna,1,0,0.00,0.0,DELETED (empty or error)
NZ_CP009169.1.fna,1,1,45.75,4671.0,KEPT
NZ_JAZGLZ010000080.1.fna,1,1,49.55,4091.0,KEPT
NZ_CP034811.1.fna,1,1,68.33,199685.0,KEPT
NZ_CP022108.1.fna,1,1,37.65,7142.0,KEPT
NZ_CP174281.1.fna,1,1,64.62,22990.0,KEPT
NC_010844.1.fna,1,1,37.47,74116.0,KEPT
NZ_LXQQ01000021.1.fna,1,1,38.03,5937.0,KEPT
NZ_JAADZA010000073.1.fna,1,1,58.74,13515.0,KEPT
NZ_JAUANS010000020.1.fna,1,1,49.28,52459.0,KEPT
NZ_JBDYDR010000092.1.fna,1,1,36.82,1051.0,KEPT
NZ_CP055537.1.fna,1,0,0.00,0.0,DELETED (empty or error)
NZ_ABQL01000079.1.fna,1,1,37.32,1589.0,KEPT
NZ_RRML01000120.1.fna,1,1,49.68,1103.0,KEPT
NZ_JNGV01000057.1.fna,1,1,65.43,2754.0,KEPT
NZ_MAOO01000042.1.fna,1,0,0.00,0.0,DELETED (empty or error)
NZ_RRFD01000215.1.fna,1,1,56.14,9212.0,KEPT
NZ_CP108623.1.fna,1,1,69.52,104357.0,KEPT
NZ_CP056858.1.fna,1,1,48.95,53039.0,KEPT
NZ_CP189932.1.fna,1,1,51.24,48905.0,KEPT
NZ_CP150372.1.fna,1,1,53.24,58519.0,KEPT
NZ_RRSB01000301.1.fna,1,1,57.33,1132.0,KEPT
NZ_RREB01000115.1.fna,1,1,43.37,30476.0,KEPT
NZ_PHSM01000072.1.fna,1,0,0.00,0.0,DELETED (empty or error)
NZ_AYFZ01000083.1.fna,1,1,33.97,7819.0,KEPT
NZ_KR559890.1.fna,1,1,52.45,153958.0,KEPT
NZ_CP041163.1.fna,1,1,67.83,32785.0,KEPT
NC_001880.1.fna,1,1,36.44,39456.0,KEPT
NZ_MZ581331.1.fna,1,1,60.41,36923.0,KEPT
NZ_JABXRL010000006.1.fna,1,1,51.81,2511.0,KEPT
NZ_JBDYJJ010000028.1.fna,1,0,0.00,0.0,DELETED (empty or error)
NZ_CM008880.1.fna,1,1,51.78,80889.0,KEPT
NZ_CP018916.1.fna,1,1,54.90,73532.0,KEPT
NZ_CP086498.1.fna,1,1,53.32,4773.0,KEPT
NZ_JAJATX010000073.1.fna,1,1,58.10,16390.0,KEPT
NC_017203.1.fna,1,1,33.01,281231.0,KEPT
NZ_PQ247032.1.fna,1,1,46.72,252810.0,KEPT
NZ_CP048909.1.fna,1,1,48.67,39059.0,KEPT
NZ_CP174567.1.fna,1,1,47.19,286030.0,KEPT
NZ_CP073845.1.fna,1,1,27.14,6455.0,KEPT
NZ_WKKU01000033.1.fna,1,1,53.29,1702.0,KEPT
NZ_MT230376.1.fna,1,1,49.40,3889.0,KEPT
NZ_KM583817.1.fna,1,1,33.78,18635.0,KEPT
NZ_CP168295.1.fna,1,1,51.99,143393.0,KEPT
NZ_CP177670.1.fna,1,1,50.16,100915.0,KEPT
NZ_JACJUL010000085.1.fna,1,1,66.12,6069.0,KEPT
NZ_CP089135.1.fna,1,1,53.25,129210.0,KEPT
NZ_CP097728.1.fna,1,1,53.18,117915.0,KEPT
NZ_CP087720.1.fna,1,1,68.60,286493.0,KEPT
NZ_CP102539.1.fna,1,1,35.08,3361.0,KEPT
NZ_JBANRQ010000045.1.fna,1,1,44.75,5797.0,KEPT
NC_016049.1.fna,1,1,30.54,7646.0,KEPT
NZ_OP038277.1.fna,1,1,51.68,80134.0,KEPT
NZ_CP012421.1.fna,1,1,32.23,18046.0,KEPT
NZ_PGEH01000432.1.fna,1,1,36.00,1711.0,KEPT
NZ_AP022468.1.fna,1,1,61.51,11238.0,KEPT
NZ_JAMQML010000026.1.fna,1,1,58.64,25395.0,KEPT
NZ_CP069984.1.fna,1,1,52.45,2042.0,KEPT
NZ_AP031295.1.fna,1,1,44.02,45119.0,KEPT
NZ_CP065826.1.fna,1,1,54.07,213019.0,KEPT
NZ_WJHY01000120.1.fna,1,1,43.60,2202.0,KEPT
NZ_CP113082.1.fna,1,1,34.37,8731.0,KEPT
