Filename,Original Contigs,After Filtering,GC Content (%),Avg Length,Status
GCA_000762265.1_ASM76226v1_genomic.fna,1,1,41.34,2449987.0,KEPT
GCA_000953115.1_DSM1535_genomic.fna,1,1,41.23,2478074.0,KEPT
GCA_001458655.1_Mb9_genomic.fna,1,1,41.14,2494510.0,KEPT
GCA_003134315.1_20111000_S2D_genomic.fna,212,212,32.16,10359.6,KEPT
GCA_003138775.1_20110800_S2D_genomic.fna,265,265,33.02,7552.2,KEPT
GCA_003141035.1_20120800_S1D_genomic.fna,184,184,32.25,11953.9,KEPT
GCA_003151535.1_20120700_P3D_genomic.fna,147,147,32.49,21523.0,KEPT
GCA_003153815.1_20120700_E3M_genomic.fna,272,269,33.56,6340.5,KEPT
GCA_003157375.1_20120600_E2D_genomic.fna,242,242,32.14,8518.7,KEPT
GCA_003158115.1_20120600_S2D_genomic.fna,109,109,32.06,21037.5,KEPT
GCA_003158635.1_20120600_E2D_genomic.fna,306,306,32.13,7355.5,KEPT
GCA_003161815.1_20100900_E3D_genomic.fna,288,286,33.21,6592.4,KEPT
GCA_003161875.1_20100900_E3D_genomic.fna,119,119,33.75,17631.6,KEPT
GCA_003162115.1_20100900_E2D_genomic.fna,135,135,33.82,14919.1,KEPT
GCA_003162655.1_20100900_E2S_genomic.fna,310,309,34.74,5248.4,KEPT
GCA_003164415.1_20120700_S1D_genomic.fna,245,245,32.37,9496.9,KEPT
GCA_003164775.1_20120700_S1D_genomic.fna,136,134,32.03,16407.2,KEPT
GCA_003166335.1_20110700_S2D_genomic.fna,126,126,32.40,19750.2,KEPT
GCA_003168635.1_20110600_S3M_genomic.fna,219,219,32.40,10187.0,KEPT
GCA_005924185.1_ASM592418v1_genomic.fna,80,80,36.95,28073.7,KEPT
GCA_009712615.1_ASM971261v1_genomic.fna,362,362,39.72,6025.7,KEPT
GCA_016207965.1_ASM1620796v1_genomic.fna,383,383,39.32,4703.2,KEPT
GCA_016222945.1_ASM1622294v1_genomic.fna,11,11,32.57,205545.5,KEPT
GCA_018263005.1_ASM1826300v1_genomic.fna,19,19,36.23,110426.2,KEPT
GCA_018263095.1_ASM1826309v1_genomic.fna,176,176,41.08,7196.7,KEPT
GCA_018263135.1_ASM1826313v1_genomic.fna,120,116,40.92,17340.4,KEPT
GCA_002813085.1_ASM281308v1_genomic.fna,1,1,31.15,1805545.0,KEPT
GCA_018379875.1_ASM1837987v1_genomic.fna,22,22,30.95,84122.7,KEPT
GCA_018784305.1_ASM1878430v1_genomic.fna,97,65,31.17,27310.4,KEPT
GCA_900654205.1_PRJEB30652_genomic.fna,14,14,31.23,123043.1,KEPT
GCA_902384055.1_UHGG_MGYG-HGUT-02163_genomic.fna,10,7,31.24,246524.7,KEPT
GCA_001889405.1_ASM188940v1_genomic.fna,1,1,42.40,2022959.0,KEPT
GCA_013329685.1_ASM1332968v1_genomic.fna,34,34,31.04,34423.7,KEPT
GCA_015063085.1_ASM1506308v1_genomic.fna,36,36,48.58,38937.4,KEPT
GCA_015063105.1_ASM1506310v1_genomic.fna,36,36,46.57,39533.7,KEPT
GCA_001508665.1_ASM150866v1_genomic.fna,342,342,62.11,5339.1,KEPT
GCA_002496255.1_ASM249625v1_genomic.fna,267,264,61.83,8551.9,KEPT
GCA_002503525.1_ASM250352v1_genomic.fna,278,271,61.46,8657.0,KEPT
GCA_002503885.1_ASM250388v1_genomic.fna,152,152,61.54,16987.1,KEPT
GCA_000979765.1_gtlEnvA5udCFS_genomic.fna,136,136,41.46,30338.6,KEPT
GCA_000978935.1_gtlEnvA5udCFS_genomic.fna,146,146,41.63,27864.4,KEPT
GCA_000978945.1_gtlEnvA5udCFS_genomic.fna,147,147,41.63,27714.1,KEPT
GCA_000978955.1_gtlEnvA5udCFS_genomic.fna,236,236,41.60,17211.7,KEPT
GCA_000978965.1_gtlEnvA5udCFS_genomic.fna,156,156,41.46,26697.8,KEPT
GCA_000979015.1_gtlEnvA5udCFS_genomic.fna,159,159,41.61,25044.0,KEPT
GCA_000979025.1_gtlEnvA5udCFS_genomic.fna,167,167,41.68,24038.2,KEPT
GCA_000979035.1_gtlEnvA5udCFS_genomic.fna,211,211,41.46,19572.0,KEPT
GCA_000979045.1_gtlEnvA5udCFS_genomic.fna,136,136,41.45,30314.9,KEPT
GCA_000979095.1_gtlEnvA5udCFS_genomic.fna,199,199,41.68,20118.7,KEPT
GCA_000979105.1_gtlEnvA5udCFS_genomic.fna,124,124,41.54,32657.0,KEPT
GCA_000979115.1_gtlEnvA5udCFS_genomic.fna,238,238,41.74,16688.2,KEPT
GCA_000979125.1_gtlEnvA5udCFS_genomic.fna,164,164,41.61,24833.2,KEPT
GCA_000979175.1_gtlEnvA5udCFS_genomic.fna,205,205,41.58,19926.7,KEPT
GCA_000979185.1_gtlEnvA5udCFS_genomic.fna,123,123,41.57,32432.7,KEPT
