Filename,Original Contigs,After Filtering,GC Content (%),Avg Length,Status
GCA_000310025.1_ASM31002v1_genomic.fna,1270,1133,52.46,170434.0,KEPT
GCA_000194455.1_ASM19445v1_genomic.fna,3,3,26.19,162355.3,KEPT
GCA_004359215.2_BlacSF5v2_genomic.fna,220,128,44.67,16494.3,KEPT
GCA_000331325.2_Crithidia_fasciculata-14.0_genomic.fna,458,458,57.01,90168.9,KEPT
GCA_005317125.1_ASM531712v1_genomic.fna,34,34,59.50,945778.5,KEPT
GCA_003304975.1_IOC-L_3564_genomic.fna,1029,840,53.80,36239.3,KEPT
GCA_902369275.1_Lbraz_genomic.fna,1,1,20.08,17771.0,KEPT
GCA_000227135.2_ASM22713v2_genomic.fna,36,35,57.44,905365.4,KEPT
GCA_000470725.1_BHU1220_genomic.fna,36,35,57.35,905135.4,KEPT
GCA_001989955.1_ASM198995v1_genomic.fna,36,12,54.37,1146497.2,KEPT
GCA_001989975.1_ASM198997v1_genomic.fna,36,13,54.57,1058065.7,KEPT
GCA_002243465.1_ASM224346v1_genomic.fna,37,37,59.49,906645.3,KEPT
GCA_003719575.1_ASM371957v1_genomic.fna,36,36,59.75,915551.8,KEPT
GCA_900635355.2_LDHU3_new_genomic.fna,36,36,59.77,917662.9,KEPT
GCA_000410755.2_Leishmania_enrietti_LEM3045-1.0.2_genomic.fna,495,477,58.62,64229.6,KEPT
GCA_017916305.1_LU_Lenr_1.0_genomic.fna,54,53,59.57,628640.4,KEPT
GCA_020783415.1_ASM2078341v1_genomic.fna,36,36,59.48,912634.2,KEPT
GCA_014139745.1_CDC_Ltropica216-162_v1_genomic.fna,43,43,59.67,760480.7,KEPT
GCA_902369315.1_Lgu_genomic.fna,1,1,20.46,19624.0,KEPT
GCA_003020905.1_ASM302090v1_genomic.fna,36,36,59.57,889142.7,KEPT
GCA_900500625.2_LINF_genomic.fna,36,36,59.74,911201.3,KEPT
GCA_902369335.1_Linf_genomic.fna,1,1,22.33,17897.0,KEPT
GCA_902369305.1_Lad_genomic.fna,1,1,21.76,19219.0,KEPT
GCA_000755165.1_ASM75516v1_genomic.fna,35,35,56.25,876822.7,KEPT
GCA_001403675.1_Leishmania_peruviana_PAB-4377_V1_genomic.fna,37,24,52.90,1024562.1,KEPT
GCA_001403695.1_Leishmania_peruviana_LEM-1537_V1_genomic.fna,37,0,0.00,0.0,DELETED (empty or error)
GCA_019096175.1_IZB_EATRO1125_Draft_genome_1.0_genomic.fna,696,696,42.79,92118.2,KEPT
GCA_015033625.1_ASM1503362v1_genomic.fna,402,400,51.55,113888.2,KEPT
GCA_015033655.1_ASM1503365v1_genomic.fna,266,263,51.55,179526.9,KEPT
GCA_917563935.1_Assembly1_genomic.fna,13,13,46.53,1956320.0,KEPT
GCA_000333855.2_Endotrypanum_monterogeii-LV88-1.0.3_genomic.fna,1959,496,51.89,63939.0,KEPT
GCA_000002435.2_UU_WB_2.1_genomic.fna,35,35,48.06,345091.0,KEPT
GCA_006247105.1_UU_GM_1.1_genomic.fna,59,59,54.71,165727.5,KEPT
GCA_015099795.1_ASM1509979v1_genomic.fna,39,39,23.96,689207.4,KEPT
GCA_014843625.1_ASM1484362v1_genomic.fna,37,37,36.85,756606.1,KEPT
GCA_000002835.1_ASM283v1_genomic.fna,1,0,0.00,0.0,DELETED (empty or error)
GCA_905310635.1_pEimTen1.1_genomic.fna,17,17,51.60,3132361.1,KEPT
GCA_014843675.1_ASM1484367v1_genomic.fna,650,646,38.78,46428.9,KEPT
GCA_000209695.1_ASM20969v1_genomic.fna,1,1,31.12,1164703.0,KEPT
GCA_015245375.1_ASM1524537v1_genomic.fna,8,8,30.18,1140282.9,KEPT
GCA_019844115.2_ASM1984411v2_genomic.fna,8,8,30.11,1149702.4,KEPT
GCA_009761385.1_ASM976138v1_genomic.fna,445,134,52.58,458308.5,KEPT
GCA_013099955.1_tgrh88_genomic.fna,197,197,52.11,340384.1,KEPT
GCA_016808245.1_ASM1680824v1_genomic.fna,27,26,52.34,2489270.2,KEPT
GCA_019455545.1_UPITT_Tgon_RH88_1.0_genomic.fna,19,19,52.47,3415059.7,KEPT
GCA_019455585.1_ASM1945558v1_genomic.fna,36,36,52.39,1799435.5,KEPT
GCA_900044335.1_PbK173_genomic.fna,478,107,22.10,173554.4,KEPT
GCA_900088445.1_PbNK65E_genomic.fna,310,300,22.01,61487.2,KEPT
GCA_900095545.1_PBNK65NY_genomic.fna,304,304,22.00,60605.8,KEPT
GCA_900095585.1_PbSP11RLL_genomic.fna,269,267,22.01,68544.2,KEPT
GCA_900095635.1_PbSP11A_genomic.fna,324,321,22.00,57333.4,KEPT
GCA_900002375.2_GCA_900002375_genomic.fna,21,21,22.04,894314.6,KEPT
GCA_900095565.1_PchDK_genomic.fna,661,482,23.52,39776.2,KEPT
GCA_900095625.1_PchDS_genomic.fna,604,479,23.45,40621.4,KEPT
GCA_900180395.1_PcyM_genomic.fna,56,56,37.31,547457.4,KEPT
GCA_900617135.1_PfCD01-2_genomic.fna,19,19,19.45,1239260.4,KEPT
GCA_900631975.1_PfKE01-3_genomic.fna,21,21,19.25,1085158.8,KEPT
GCA_900631985.1_PfHB3-3_genomic.fna,28,28,19.21,814713.0,KEPT
GCA_900631995.1_PfGN01-3_genomic.fna,19,19,19.46,1248062.7,KEPT
GCA_900632005.1_PfGA01-3_genomic.fna,20,20,19.31,1157355.9,KEPT
GCA_900632015.1_PfKH02-3_genomic.fna,21,21,19.29,1101169.5,KEPT
GCA_900632025.1_PfKH01-3_genomic.fna,22,22,19.30,1057560.0,KEPT
GCA_900632035.1_PfGB4-3_genomic.fna,26,26,19.36,903440.7,KEPT
GCA_900632045.1_PfDd2-3_genomic.fna,16,16,19.19,1417636.2,KEPT
GCA_900632055.1_PfIT-3_genomic.fna,27,27,19.35,858556.7,KEPT
GCA_900632065.1_PfTG01-3_genomic.fna,79,79,19.85,328362.8,KEPT
GCA_900632075.1_PfSN01-3_genomic.fna,36,36,19.38,652764.8,KEPT
GCA_900632085.1_PfML01-3_genomic.fna,117,117,19.67,219444.9,KEPT
GCA_900632095.1_PfSD01-3_genomic.fna,19,19,19.17,1197356.3,KEPT
GCA_900162085.1_PkA1H1_v1_genomic.fna,16,16,38.36,1519450.6,KEPT
GCA_000006355.3_GCA_000006355.2_genomic.fna,164,135,38.60,180552.5,KEPT
GCA_001601855.1_ASM160185v1_genomic.fna,777,272,17.86,74406.8,KEPT
GCA_900097025.1_PRG01_genomic.fna,48,48,19.30,509827.1,KEPT
GCA_000002415.2_ASM241v2_genomic.fna,2747,1342,42.50,19333.1,KEPT
GCA_014843685.1_ASM1484368v1_genomic.fna,552,551,38.86,54151.2,KEPT
GCA_902369385.1_LmjF_genomic.fna,1,1,23.56,18998.0,KEPT
GCA_014843945.1_ASM1484394v1_genomic.fna,552,552,38.88,53990.3,KEPT
GCA_014843935.1_ASM1484393v1_genomic.fna,532,530,39.07,55622.1,KEPT
GCA_900093535.1_PvC01_genomic.fna,425,419,38.89,72097.1,KEPT
GCA_900093545.1_PvT01_genomic.fna,374,374,39.63,77527.6,KEPT
GCA_900093555.2_GCA_900093555_genomic.fna,242,219,39.70,131836.4,KEPT
GCA_900178095.1_PvHMP-013_genomic.fna,478,476,38.45,65061.7,KEPT
GCA_900090005.1_PmlGA01_genomic.fna,50,39,25.02,119500.2,KEPT
GCA_900090045.1_PmUG01_genomic.fna,63,63,24.38,533619.6,KEPT
GCA_900002385.2_GCA_900002385_genomic.fna,16,16,21.74,1442720.1,KEPT
GCA_903994265.1_PVSEL_v1_genomic.fna,16,16,23.11,1220815.8,KEPT
GCA_900002395.1_PYYM01_genomic.fna,197,94,21.26,219433.3,KEPT
GCA_900617845.1_Pyy1.1-2_genomic.fna,2308,292,21.67,74260.3,KEPT
GCA_900617855.1_Pyy1AR-2_genomic.fna,2475,354,21.65,61672.2,KEPT
GCA_900617865.1_Pyy2CL-2_genomic.fna,2915,333,21.68,66005.0,KEPT
GCA_900617875.1_Pyy33X-2_genomic.fna,2303,248,21.67,88204.5,KEPT
GCA_900617885.1_Pyy3AE-2_genomic.fna,3182,380,21.66,57792.3,KEPT
GCA_000981445.1_Bbig001_genomic.fna,483,483,50.63,28656.2,KEPT
GCA_002189625.1_ASM218962v1_genomic.fna,9,9,40.71,1087904.6,KEPT
GCA_000003225.1_ASM322v1_genomic.fna,8,8,32.54,1044765.6,KEPT
GCA_016584475.1_JCVI_TeTherMIC_3_genomic.fna,23,23,22.37,8682043.5,KEPT
GCA_016097395.1_Ncaninum_LIV_genomic.fna,44,44,54.80,1397594.7,KEPT
GCA_016097425.1_Ncaninum_Uru1_genomic.fna,45,45,54.74,1364415.0,KEPT
GCA_900002335.2_GCA_900002335_genomic.fna,16,16,23.62,1185859.9,KEPT
