Filename,Original Contigs,After Filtering,After CD-HIT,GC %,Avg Length,Status
GCA_000007185.1_ASM718v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000006805.1_ASM680v1_genomic.fna,3,3,0,0.00,0.0,FAILED (CD-HIT)
GCA_000007005.1_ASM700v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000007065.1_ASM706v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000007225.1_ASM722v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000007305.1_ASM730v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000008085.1_ASM808v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000008265.1_ASM826v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000008645.1_ASM864v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000008665.1_ASM866v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000007345.1_ASM734v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000009965.1_ASM996v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000009185.1_ASM918v1_genomic.fna,2,2,0,0.00,0.0,FAILED (CD-HIT)
GCA_000011005.1_ASM1100v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000011105.1_ASM1110v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000011085.1_ASM1108v1_genomic.fna,9,9,0,0.00,0.0,FAILED (CD-HIT)
GCA_000011125.1_ASM1112v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000011185.1_ASM1118v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000011585.1_ASM1158v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000011205.1_ASM1120v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000012285.1_ASM1228v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000012545.1_ASM1254v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000015145.1_ASM1514v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000014945.1_ASM1494v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000013445.1_ASM1344v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000013725.1_ASM1372v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000015205.1_ASM1520v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000015765.1_ASM1576v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000015805.1_ASM1580v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000015825.1_ASM1582v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000015945.1_ASM1594v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000016385.1_ASM1638v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000016525.1_ASM1652v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000017165.1_ASM1716v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000016605.1_ASM1660v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000017185.1_ASM1718v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000017625.1_ASM1762v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000017945.1_ASM1794v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000018305.1_ASM1830v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000018365.1_ASM1836v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000018465.1_ASM1846v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000019605.1_ASM1960v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000019805.1_ASM1980v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000020905.1_ASM2090v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000021965.1_ASM2196v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000022205.1_ASM2220v1_genomic.fna,3,3,0,0.00,0.0,FAILED (CD-HIT)
GCA_000022365.1_ASM2236v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000022385.1_ASM2238v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000022405.1_ASM2240v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000022425.1_ASM2242v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000016125.1_ASM1612v1_genomic.fna,2,2,2,0.00,0.0,DELETED (too few contigs)
GCA_000022445.1_ASM2244v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000022465.1_ASM2246v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000022485.1_ASM2248v1_genomic.fna,2,2,0,0.00,0.0,FAILED (CD-HIT)
GCA_000022545.1_ASM2254v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000023945.1_ASM2394v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000023965.1_ASM2396v1_genomic.fna,2,2,0,0.00,0.0,FAILED (CD-HIT)
GCA_000024185.1_ASM2418v1_genomic.fna,1,1,1,0.00,0.0,DELETED (too few contigs)
GCA_000024305.1_ASM2430v1_genomic.fna,2,2,0,0.00,0.0,FAILED (CD-HIT)
GCA_000025285.1_ASM2528v1_genomic.fna,2,2,2,0.00,0.0,DELETED (too few contigs)
GCA_000025325.1_ASM2532v1_genomic.fna,7,7,0,0.00,0.0,FAILED (CD-HIT)
