Split,Filename_Removed,Reason
val,NZ_CP145210.1.cleaned.fna,Mash_dist=0.0487 (Train vs Val)
val,NZ_CP018235.1.cleaned.fna,Mash_dist=0.0342 (Train vs Val)
val,NZ_MT269850.1.cleaned.fna,Mash_dist=0.0484 (Train vs Val)
val,NZ_MW310586.1.cleaned.fna,Mash_dist=0.0467 (Train vs Val)
val,NZ_CP115872.1.cleaned.fna,Mash_dist=0.0004 (Train vs Val)
val,NZ_CP122819.1.cleaned.fna,Mash_dist=0.0295 (Train vs Val)
val,NZ_CP167231.1.cleaned.fna,Mash_dist=0.0467 (Train vs Val)
val,NZ_CP118626.1.cleaned.fna,Mash_dist=0.0462 (Train vs Val)
val,NZ_RRFL01000153.1.cleaned.fna,Mash_dist=0.0404 (Train vs Val)
val,NZ_MK134858.1.cleaned.fna,Mash_dist=0.0000 (Train vs Val)
val,NZ_CP081264.1.cleaned.fna,Mash_dist=0.0146 (Train vs Val)
val,NZ_CP158675.1.cleaned.fna,Mash_dist=0.0391 (Train vs Val)
val,NZ_CP078141.1.cleaned.fna,Mash_dist=0.0463 (Train vs Val)
val,NZ_JABXPB010000004.1.cleaned.fna,Mash_dist=0.0294 (Train vs Val)
val,NZ_RRHT01000162.1.cleaned.fna,Mash_dist=0.0470 (Train vs Val)
val,NZ_CP013135.1.cleaned.fna,Mash_dist=0.0172 (Train vs Val)
val,NZ_CP135911.1.cleaned.fna,Mash_dist=0.0061 (Train vs Val)
val,NZ_CP151302.1.cleaned.fna,Mash_dist=0.0017 (Train vs Val)
val,NZ_KT779035.1.cleaned.fna,Mash_dist=0.0168 (Train vs Val)
val,NZ_CP073816.1.cleaned.fna,Mash_dist=0.0498 (Train vs Val)
val,NZ_CP051361.1.cleaned.fna,Mash_dist=0.0268 (Train vs Val)
val,NZ_CP147354.1.cleaned.fna,Mash_dist=0.0219 (Train vs Val)
val,NZ_CP086884.1.cleaned.fna,Mash_dist=0.0439 (Train vs Val)
val,NC_019019.1.cleaned.fna,Mash_dist=0.0103 (Train vs Val)
val,NZ_CP173295.1.cleaned.fna,Mash_dist=0.0495 (Train vs Val)
val,NZ_RRMD01000079.1.cleaned.fna,Mash_dist=0.0345 (Train vs Val)
val,NZ_CP095171.1.cleaned.fna,Mash_dist=0.0446 (Train vs Val)
val,NZ_CP091046.1.cleaned.fna,Mash_dist=0.0435 (Train vs Val)
val,NZ_CP048224.1.cleaned.fna,Mash_dist=0.0002 (Train vs Val)
val,NZ_CP121781.1.cleaned.fna,Mash_dist=0.0081 (Train vs Val)
val,NZ_JAMYDE010000059.1.cleaned.fna,Mash_dist=0.0019 (Train vs Val)
